faculty_id,name,Username,Password,Role,department,,,,,admin/admin123
101,Sneha Singh,sneha_singh,1234,Faculty,Physics,,,,,
102,Suman Nair,suman_nair,1234,Faculty,Mathematics,,,,,
103,Arjun Patel,arjun_patel,1234,Faculty,ME,,,,,
104,Neha Ghosh,neha_ghosh,1234,Faculty,CSE,,,,,
105,Arjun Singh,arjun_singh,1234,Faculty,CSE,,,,,
106,Suman Verma,suman_verma,1234,Faculty,Chemistry,,,,,
107,Vikas Reddy,vikas_reddy,1234,Faculty,CE,,,,,
109,Kiran Verma,kiran_verma,1234,Faculty,Physics,,,,,
110,Vikas Chatterjee,vikas_chatterjee,1234,Faculty,Physics,,,,,
111,Pooja Reddy,pooja_reddy,1234,Faculty,CSE,,,,,
112,Kiran Ghosh,kiran_ghosh,1234,Faculty,ECE,,,,,
113,Arjun Chatterjee,arjun_chatterjee,1234,Faculty,ME,,,,,
114,Amit Sharma,amit_sharma,1234,Faculty,ME,,,,,
115,Suman Ghosh,suman_ghosh,1234,Faculty,ME,,,,,
116,Vikas Singh,vikas_singh,1234,Faculty,ME,,,,,
117,Suman Patel,suman_patel,1234,Faculty,EE,,,,,
119,Sneha Das,sneha_das,1234,Faculty,Physics,,,,,
121,Pooja Iyer,pooja_iyer,1234,Faculty,EE,,,,,
122,Neha Singh,neha_singh,1234,Faculty,CE,,,,,
124,Rohan Verma,rohan_verma,1234,Faculty,EE,,,,,
125,Pooja Sharma,pooja_sharma,1234,Faculty,CSE,,,,,
127,Pooja Patel,pooja_patel,1234,Faculty,Mathematics,,,,,
129,Kiran Das,kiran_das,1234,Faculty,ME,,,,,
130,Kiran Singh,kiran_singh,1234,Faculty,Chemistry,,,,,
131,Amit Das,amit_das,1234,Faculty,CE,,,,,
132,Rohan Sharma,rohan_sharma,1234,Faculty,CE,,,,,
133,Rohan Chatterjee,rohan_chatterjee,1234,Faculty,CE,,,,,
134,Suman Chatterjee,suman_chatterjee,1234,Faculty,Chemistry,,,,,
136,Rohan Reddy,rohan_reddy,1234,Faculty,CSE,,,,,
138,Vikas Verma,vikas_verma,1234,Faculty,Mathematics,,,,,
139,Priya Verma,priya_verma,1234,Faculty,ECE,,,,,
142,Arjun Reddy,arjun_reddy,1234,Faculty,Mathematics,,,,,
144,Neha Patel,neha_patel,1234,Faculty,Physics,,,,,
145,Priya Chatterjee,priya_chatterjee,1234,Faculty,CSE,,,,,
146,Suman Reddy,suman_reddy,1234,Faculty,Mathematics,,,,,
147,Neha Das,neha_das,1234,Faculty,ME,,,,,
150,Arjun Ghosh,arjun_ghosh,1234,Faculty,CSE,,,,,
153,Sneha Ghosh,sneha_ghosh,1234,Faculty,CE,,,,,
154,Arjun Iyer,arjun_iyer,1234,Faculty,CSE,,,,,
157,Vikas Sharma,vikas_sharma,1234,Faculty,CSE,,,,,
158,Arjun Verma,arjun_verma,1234,Faculty,EE,,,,,
159,Amit Singh,amit_singh,1234,Faculty,EE,,,,,
162,Pooja Chatterjee,pooja_chatterjee,1234,Faculty,Mathematics,,,,,
163,Neha Reddy,neha_reddy,1234,Faculty,Mathematics,,,,,
165,Amit Chatterjee,amit_chatterjee,1234,Faculty,ME,,,,,
166,Priya Sharma,priya_sharma,1234,Faculty,CE,,,,,
167,Amit Ghosh,amit_ghosh,1234,Faculty,ECE,,,,,
168,Sneha Sharma,sneha_sharma,1234,Faculty,ME,,,,,
169,Suman Das,suman_das,1234,Faculty,Physics,,,,,
173,Vikas Iyer,vikas_iyer,1234,Faculty,CSE,,,,,
174,Vikas Patel,vikas_patel,1234,Faculty,CSE,,,,,
175,Priya Nair,priya_nair,1234,Faculty,Chemistry,,,,,
177,Sneha Reddy,sneha_reddy,1234,Faculty,CE,,,,,
178,Priya Ghosh,priya_ghosh,1234,Faculty,CE,,,,,
181,Kiran Iyer,kiran_iyer,1234,Faculty,Chemistry,,,,,
182,Kiran Chatterjee,kiran_chatterjee,1234,Faculty,Physics,,,,,
183,Rohan Patel,rohan_patel,1234,Faculty,Physics,,,,,
189,Neha Chatterjee,neha_chatterjee,1234,Faculty,Physics,,,,,
190,Arjun Das,arjun_das,1234,Faculty,ECE,,,,,
192,Vikas Nair,vikas_nair,1234,Faculty,Chemistry,,,,,
198,Arjun Nair,arjun_nair,1234,Faculty,Chemistry,,,,,
200,Rohan Ghosh,rohan_ghosh,1234,Faculty,ME,,,,,
202,Sneha Patel,sneha_patel,1234,Faculty,CE,,,,,
203,Sneha Iyer,sneha_iyer,1234,Faculty,ECE,,,,,
204,Priya Das,priya_das,1234,Faculty,CSE,,,,,
208,Priya Iyer,priya_iyer,1234,Faculty,Mathematics,,,,,
209,Neha Iyer,neha_iyer,1234,Faculty,Mathematics,,,,,
216,Amit Verma,amit_verma,1234,Faculty,EE,,,,,
218,Vikas Ghosh,vikas_ghosh,1234,Faculty,EE,,,,,
221,Amit Iyer,amit_iyer,1234,Faculty,Physics,,,,,
225,Neha Nair,neha_nair,1234,Faculty,Physics,,,,,
226,Kiran Sharma,kiran_sharma,1234,Faculty,Physics,,,,,
231,Sneha Chatterjee,sneha_chatterjee,1234,Faculty,ME,,,,,
232,Priya Reddy,priya_reddy,1234,Faculty,ME,,,,,
233,Arjun Sharma,arjun_sharma,1234,Faculty,ECE,,,,,
250,Pooja Nair,pooja_nair,1234,Faculty,CE,,,,,
255,Neha Verma,neha_verma,1234,Faculty,Chemistry,,,,,
258,Pooja Ghosh,pooja_ghosh,1234,Faculty,Physics,,,,,
268,Pooja Singh,pooja_singh,1234,Faculty,Chemistry,,,,,
275,Rohan Iyer,rohan_iyer,1234,Faculty,CSE,,,,,
288,Vikas Das,vikas_das,1234,Faculty,Physics,,,,,
291,Amit Patel,amit_patel,1234,Faculty,CSE,,,,,
300,Rohan Das,rohan_das,1234,Faculty,ECE,,,,,
311,Suman Iyer,suman_iyer,1234,Faculty,Chemistry,,,,,
314,Pooja Verma,pooja_verma,1234,Faculty,CSE,,,,,
318,Priya Singh,priya_singh,1234,Faculty,ME,,,,,
325,Rohan Singh,rohan_singh,1234,Faculty,Physics,,,,,
337,Neha Sharma,neha_sharma,1234,Faculty,CSE,,,,,
339,Sneha Nair,sneha_nair,1234,Faculty,Chemistry,,,,,
340,Pooja Das,pooja_das,1234,Faculty,Mathematics,,,,,
343,Rohan Nair,rohan_nair,1234,Faculty,EE,,,,,
344,Kiran Reddy,kiran_reddy,1234,Faculty,ECE,,,,,
350,Sneha Verma,sneha_verma,1234,Faculty,CSE,,,,,
412,Suman Singh,suman_singh,1234,Faculty,Physics,,,,,
429,Suman Sharma,suman_sharma,1234,Faculty,Mathematics,,,,,
432,Amit Nair,amit_nair,1234,Faculty,EE,,,,,
458,Amit Reddy,amit_reddy,1234,Faculty,CSE,,,,,
486,Kiran Nair,kiran_nair,1234,Faculty,ME,,,,,
